first_name,second_name
Adrián,San Miguel del Castillo
Aaron,Cresswell
Angelo,Ogbonna
Arthur,Masuaku
Pablo,Zabaleta
Mark,Noble
Cheikhou,Kouyaté
Pedro,Obiang
Manuel,Lanzini
Joe,Hart
Declan,Rice
Ben,Johnson
Grady,Diangana
Sead,Kolasinac
Sokratis,Papastathopoulos
Mesut,Özil
Alex,Iwobi
Granit,Xhaka
Ainsley,Maitland-Niles
Danny,Welbeck
Alexandre,Lacazette
Pierre-Emerick,Aubameyang
Lucas,Torreira
Matteo,Guendouzi
Zech,Medley
Edward,Nketiah
Bukayo,Saka
Joseph,Willock
Artur,Boruc
Steve,Cook
Adam,Smith
Nathan,Aké
Jack,Simpson
Callum,Wilson
Lys,Mousset
Joshua,King
Diego,Rico
Jefferson,Lerma
Sam,Surridge
Mark,Travers
Mathew,Ryan
Lewis,Dunk
Shane,Duffy
Ezequiel,Schelotto
Dale,Stephens
Beram,Kayal
Solomon,March
Pascal,Groß
Glenn,Murray
David,Button
Bernardo,Fernandes da Silva Junior
Yves,Bissouma
Alireza,Jahanbakhsh
Martín,Montoya
Dan,Burn
Nick,Pope
James,Tarkowski
Kevin,Long
Phil,Bardsley
Johann Berg,Gudmundsson
Robbie,Brady
Ashley,Westwood
Chris,Wood
Matej,Vydra
Dwight,McNeil
Josh,Benson
Anthony,Driscoll-Glennon
Danny,Ward
Willy,Caballero
César,Azpilicueta
Marcos,Alonso
David,Luiz Moreira Marinho
Andreas,Christensen
Emerson,Palmieri dos Santos
Willian,Borges Da Silva
Pedro,Rodríguez Ledesma
Ross,Barkley
Ruben,Loftus-Cheek
Olivier,Giroud
Jorge Luiz,Frello Filho
Kepa,Arrizabalaga
Mateo,Kovacic
Wayne,Hennessey
Vicente,Guaita
Scott,Dann
Martin,Kelly
Jairo,Riedewald
Aaron,Wan-Bissaka
James,McArthur
Andros,Townsend
Luka,Milivojevic
Wilfried,Zaha
Christian,Benteke
Cheikhou,Kouyaté
Joel,Ward
Max,Meyer
Jordan,Ayew
Michy,Batshuayi
Sam,Woods
Luke,Dreher
Jordan,Pickford
Maarten,Stekelenburg
Leighton,Baines
Seamus,Coleman
Phil,Jagielka
Michael,Keane
Theo,Walcott
James,McCarthy
Tom,Davies
Gylfi,Sigurdsson
Dominic,Calvert-Lewin
Richarlison,de Andrade
Lucas,Digne
Bernard,Anício Caldeira Duarte
André Filipe,Tavares Gomes
Kurt,Zouma
Ryan,Sessegnon
Harvey,Elliott
Aaron,Mooy
Philip,Billing
Kasper,Schmeichel
Eldin,Jakupovic
Wes,Morgan
Harry,Maguire
Marc,Albrighton
Demarai,Gray
Wilfred,Ndidi
Matty,James
Hamza,Choudhury
Jamie,Vardy
Kelechi,Iheanacho
Danny,Ward
Çaglar,Söyüncü
Nampalys,Mendy
Harvey,Barnes
Youri,Tielemans
Dejan,Lovren
Joseph,Gomez
Trent,Alexander-Arnold
Virgil,van Dijk
Andrew,Robertson
Alex,Oxlade-Chamberlain
Adam,Lallana
Sadio,Mané
Georginio,Wijnaldum
Mohamed,Salah
James,Milner
Fabio Henrique,Tavares
Roberto,Firmino
Xherdan,Shaqiri
Alisson,Ramses Becker
Divock,Origi
Curtis,Jones
Riyad,Mahrez
Ederson,Santana de Moraes
John,Stones
Nicolás,Otamendi
Kyle,Walker
Benjamin,Mendy
Aymeric,Laporte
Raheem,Sterling
David,Silva
Fernando,Luiz Rosa
Kevin,De Bruyne
Ilkay,Gündogan
Bernardo Mota,Veiga de Carvalho e Silva
Phil,Foden
Oleksandr,Zinchenko
Gabriel Fernando,de Jesus
David,de Gea
Sergio,Romero
Victor,Lindelöf
José Diogo,Dalot Teixeira
Nemanja,Matic
Juan,Mata
Jesse,Lingard
Anthony,Martial
Paul,Pogba
Scott,McTominay
Frederico,Rodrigues de Paula Santos
Marcus,Rashford
Andreas,Pereira
Lee,Grant
James,Garner
Tahith,Chong
Mason,Greenwood
Karl,Darlow
Martin,Dubravka
Javier,Manquillo
Matt,Ritchie
Jonjo,Shelvey
Christian,Atsu
Isaac,Hayden
Ayoze,Pérez
Yoshinori,Muto
Federico,Fernández
Kelland,Watts
Danny,Ings
Alex,McCarthy
Ryan,Bertrand
Jack,Stephens
Jan,Bednarek
James,Ward-Prowse
Oriol,Romeu Vidal
Pierre-Emile,Højbjerg
Nathan,Redmond
Stuart,Armstrong
Shane,Long
Angus,Gunn
Jannik,Vestergaard
Matt,Targett
Yan,Valery
Hugo,Lloris
Michel,Vorm
Toby,Alderweireld
Danny,Rose
Jan,Vertonghen
Ben,Davies
Kyle,Walker-Peters
Davinson,Sánchez
Serge,Aurier
Eric,Dier
Erik,Lamela
Bamidele,Alli
Harry,Winks
Moussa,Sissoko
Lucas,Rodrigues Moura da Silva
Harry,Kane
Paulo,Gazzaniga
Alfie,Whiteman
Oliver,Skipp
Craig,Cathcart
Christian,Kabasele
Adrian,Mariappa
Francisco,Femenía Far
Adam,Masina
Nathaniel,Chalobah
Tom,Cleverley
Abdoulaye,Doucouré
Roberto,Pereyra
Will,Hughes
Andre,Gray
Troy,Deeney
Ben,Foster
Adalberto,Peñaranda
Adrián,San Miguel del Castillo
Lukasz,Fabianski
Angelo,Ogbonna
Declan,Rice
Ryan,Fredericks
Issa,Diop
Arthur,Masuaku
Mark,Noble
Manuel,Lanzini
Michail,Antonio
Jack,Wilshere
Andriy,Yarmolenko
Fabián,Balbuena
Felipe Anderson,Pereira Gomes
Conor,Coventry
Alexandre Nascimento,Costa Silva
Ben,Johnson
Nathan,Holland
John,Ruddy
Willy,Boly
Matt,Doherty
Romain,Saïss
Ryan,Bennett
Conor,Coady
Rúben Gonçalo,Silva Nascimento Vinagre
Diogo,Jota
Rúben Diogo,da Silva Neves
Raúl,Jiménez
Morgan,Gibbs-White
Rui Pedro,dos Santos Patrício
João Filipe Iria,Santos Moutinho
Jonathan,Castro Otto
Adama,Traoré
Leander,Dendoncker
Max,Kilman
Héctor,Bellerín
Ainsley,Maitland-Niles
Rob,Holding
Pierre-Emerick,Aubameyang
Alexandre,Lacazette
Edward,Nketiah
Granit,Xhaka
David,Luiz Moreira Marinho
Emiliano,Martínez
Daniel,Ceballos Fernández
Cédric,Soares
Nicolas,Pépé
Reiss,Nelson
Joseph,Willock
Kieran,Tierney
Bukayo,Saka
Neil,Taylor
Kortney,Hause
Jack,Grealish
Anwar,El Ghazi
John,McGinn
Keinan,Davis
Matt,Targett
Jed,Steer
Tyrone,Mings
Ezri,Konsa Ngoyo
Douglas Luiz,Soares de Paulo
Marvelous,Nakamba
Kaine,Hayden
Nathan,Aké
Callum,Wilson
Joshua,King
Aaron,Ramsdale
Lewis,Dunk
Mathew,Ryan
David,Button
Pascal,Groß
Alireza,Jahanbakhsh
Yves,Bissouma
Davy,Pröpper
Solomon,March
Dale,Stephens
Leandro,Trossard
Dan,Burn
Adam,Webster
Neal,Maupay
Aaron,Connolly
Tariq,Lamptey
Alexis,Mac Allister
James,Tarkowski
Phil,Bardsley
Kevin,Long
Chris,Wood
Matej,Vydra
Nick,Pope
Johann Berg,Gudmundsson
Dwight,McNeil
Robbie,Brady
Ashley,Westwood
Erik,Pieters
Jay,Rodriguez
Bailey,Peacock-Farrell
Anthony,Driscoll-Glennon
Josh,Brownhill
Jimmy,Dunne
Max,Thompson
Josh,Benson
Joel,Mumbongo
Marcos,Alonso
Antonio,Rüdiger
César,Azpilicueta
Emerson,Palmieri dos Santos
Andreas,Christensen
Olivier,Giroud
Kepa,Arrizabalaga
Willy,Caballero
Willian,Borges Da Silva
Ruben,Loftus-Cheek
Callum,Hudson-Odoi
Ross,Barkley
Jorge Luiz,Frello Filho
Christian,Pulisic
Mateo,Kovacic
Kurt,Zouma
Tammy,Abraham
Michy,Batshuayi
Mason,Mount
Reece,James
Faustino,Anjorin
Joel,Ward
Scott,Dann
Martin,Kelly
Christian,Benteke
Vicente,Guaita
Wayne,Hennessey
Wilfried,Zaha
Luka,Milivojevic
Andros,Townsend
Jeffrey,Schlupp
James,McArthur
Cheikhou,Kouyaté
James,McCarthy
Jordan,Ayew
Jairo,Riedewald
Stephen,Henderson
Tyrick,Mitchell
Alex,Iwobi
Lucas,Digne
Michael,Keane
Seamus,Coleman
Dominic,Calvert-Lewin
Jordan,Pickford
Richarlison,de Andrade
Gylfi,Sigurdsson
Bernard,Anício Caldeira Duarte
Theo,Walcott
Tom,Davies
André Filipe,Tavares Gomes
Çaglar,Söyüncü
Wes,Morgan
Jamie,Vardy
Kelechi,Iheanacho
Kasper,Schmeichel
Danny,Ward
Harvey,Barnes
Marc,Albrighton
Wilfred,Ndidi
Nampalys,Mendy
Hamza,Choudhury
Ayoze,Pérez
Youri,Tielemans
Dennis,Praet
Luke,Thomas
Andrew,Robertson
Trent,Alexander-Arnold
Virgil,van Dijk
Joseph,Gomez
Roberto,Firmino
Divock,Origi
Alisson,Ramses Becker
Mohamed,Salah
Sadio,Mané
Alex,Oxlade-Chamberlain
Xherdan,Shaqiri
Adam,Lallana
Naby,Keita
Fabio Henrique,Tavares
Georginio,Wijnaldum
James,Milner
Adrián,San Miguel del Castillo
Andy,Lonergan
Caoimhin,Kelleher
Curtis,Jones
Neco,Williams
Takumi,Minamino
Ki-Jana,Hoever
Aymeric,Laporte
Kyle,Walker
Benjamin,Mendy
Oleksandr,Zinchenko
John,Stones
Gabriel Fernando,de Jesus
Ederson,Santana de Moraes
Raheem,Sterling
Kevin,De Bruyne
Riyad,Mahrez
Bernardo Mota,Veiga de Carvalho e Silva
Phil,Foden
Fernando,Luiz Rosa
Ilkay,Gündogan
Rodrigo,Hernandez
João Pedro Cavaco,Cancelo
Eric,Garcia
