assists,element_type,clean_sheets,creativity,goals_conceded,goals_scored,minutes,influence,points_per_game,saves,bonus,yellow_cards,total_points,total_points_next
1,2,7,74,45,6,3140,913,3,0,14,5,131,8
4,2,4,674,37,3,2477,509,3,0,11,5,99,81
3,3,8,362,45,2,3231,393,2,0,2,0,103,67
0,3,4,108,36,0,2418,346,1,0,0,9,54,23
3,3,2,331,24,1,1477,288,1,0,1,9,52,45
1,3,0,29,3,0,118,27,1,0,0,0,12,0
9,3,6,508,28,4,2181,463,4,0,12,2,115,81
0,4,4,73,13,0,963,38,1,0,0,1,26,20
3,4,6,430,44,8,2892,435,3,0,10,2,118,103
0,1,6,10,25,0,1440,367,4,53,6,1,64,72
0,2,6,45,29,2,1655,501,3,0,7,3,69,36
2,2,5,284,35,0,2115,307,2,0,1,2,60,118
0,2,4,82,31,0,1755,384,2,0,2,2,45,77
3,3,9,863,53,8,2708,639,3,0,20,9,133,106
0,3,0,0,0,0,0,0,0,0,0,0,0,2
0,1,0,0,0,0,0,0,0,0,0,0,0,152
3,3,3,267,19,1,999,220,2,0,3,1,47,117
0,2,3,52,19,0,1410,308,2,0,4,3,43,78
0,3,4,178,32,1,1352,179,1,0,0,4,38,136
0,2,4,49,8,0,810,172,3,0,3,3,32,27
9,3,11,694,37,6,2974,648,4,0,14,2,149,85
2,3,5,137,11,0,855,104,2,0,1,2,36,51
2,3,9,434,31,1,2681,555,2,0,9,11,80,87
0,2,0,20,1,0,129,20,1,0,0,0,5,7
4,3,13,953,21,5,2608,713,3,0,14,7,115,138
1,2,6,58,24,0,1471,350,3,0,10,1,60,58
1,2,3,126,24,0,972,219,2,0,7,1,34,68
0,3,1,49,1,0,275,16,1,0,0,2,9,23
3,3,8,246,17,2,1544,259,2,0,0,4,63,66
0,3,0,20,2,0,167,32,1,0,0,0,8,83
1,3,0,51,3,0,167,40,1,0,0,2,12,13
9,3,7,536,32,3,1764,338,3,0,8,3,100,97
0,2,2,98,28,1,1430,242,1,0,0,2,38,49
1,2,2,222,33,2,1614,309,1,0,0,2,50,59
1,3,3,109,18,0,1002,107,1,0,0,4,38,29
1,3,3,328,22,1,1104,197,1,0,1,5,40,55
0,2,1,12,13,0,562,162,2,0,3,0,15,58
0,2,7,62,45,4,2430,678,3,0,9,1,94,112
1,3,5,310,48,1,2520,340,2,0,1,5,67,0
1,3,9,234,47,2,2691,284,2,0,1,6,76,85
5,2,15,420,19,6,2693,618,5,0,11,2,177,165
0,3,0,7,0,0,54,17,1,0,0,0,8,11
3,3,4,274,5,0,909,133,1,0,0,3,43,58
0,1,9,0,34,0,2520,644,3,91,9,1,106,5
0,1,0,0,0,0,0,0,0,0,0,0,0,9
0,4,0,0,0,0,0,0,0,0,0,0,0,38
1,3,1,58,9,0,616,123,1,0,0,0,23,14
0,3,0,0,0,0,2,2,1,0,0,0,1,25
0,2,0,0,6,0,270,56,1,0,0,0,3,57
0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,3,1,38,1,0,211,41,1,0,0,0,12,8
0,2,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,0,0,0,15
0,3,0,0,0,0,0,0,0,0,0,0,0,1
0,2,0,0,0,0,13,0,1,0,0,0,1,50
0,3,0,0,0,0,1,0,1,0,0,0,1,41
0,3,0,0,0,0,0,0,0,0,0,0,0,0
3,3,1,105,8,0,416,74,1,0,0,0,25,30
0,2,4,149,18,2,1252,262,3,0,3,2,52,89
0,3,1,64,9,0,551,50,1,0,0,3,13,35
4,4,5,122,7,1,867,141,2,0,2,1,39,108
1,4,3,85,12,4,724,165,3,0,4,1,38,66
0,3,5,96,16,2,1224,192,3,0,3,4,42,144
0,2,0,0,0,0,0,0,0,0,0,0,0,6
0,2,0,0,0,0,0,0,0,0,0,0,0,7
0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,90,7,6,1,0,0,6,0
0,3,1,19,0,0,97,22,1,0,0,1,3,21
0,1,11,0,48,0,3039,722,3,90,7,1,124,24
2,2,10,238,29,5,2241,693,4,0,15,3,130,77
1,2,10,129,30,3,2272,836,4,0,13,6,109,80
4,2,10,334,30,2,2146,443,4,0,6,3,108,81
10,3,9,478,25,7,1844,631,5,0,12,0,130,91
5,3,9,592,26,3,1827,430,3,0,2,1,89,99
8,3,12,822,50,1,3259,753,2,0,3,10,109,90
3,3,4,281,16,1,1185,258,2,0,2,6,46,17
2,4,4,212,21,5,1178,309,2,0,6,1,70,19
5,4,10,566,28,14,2197,725,4,0,11,1,138,166
9,3,12,727,17,3,1712,506,4,0,9,2,107,98
0,2,2,40,14,0,864,227,1,0,0,1,23,60
0,3,3,141,16,0,908,168,1,0,0,1,25,34
0,4,0,1,1,0,17,5,1,0,0,0,3,10
